datetime,timestamp,mid_price,b_p_0,b_p_1,b_p_2,b_p_3,b_p_4,b_q_0,b_q_1,b_q_2,b_q_3,b_q_4,a_p_0,a_p_1,a_p_2,a_p_3,a_p_4,a_q_0,a_q_1,a_q_2,a_q_3,a_q_4,obi,spread,depth_skew,momentum_10s,future_mid_price,target
2026-04-19 02:28:58.948621988,1776565738.948622,75479.83,75479.82,75479.81,75479.79,75479.78,75479.04,2.35196,0.00014,0.18593,0.28506,0.003,75479.83,75479.84,75480.0,75480.23,75480.28,0.24325,0.00063,0.0012,7e-05,7e-05,0.8125392550121183,0.00999999999476131,0.8403156959082608,0.00015079148968877298,75486.18,1
2026-04-19 02:29:00.030548096,1776565740.030548,75479.83,75479.82,75479.81,75479.79,75479.78,75479.51,2.34812,0.00014,0.18593,0.28506,0.00133,75479.83,75479.84,75480.0,75480.28,75480.67,0.57008,0.00063,0.0012,7e-05,0.00242,0.6092934000411213,0.00999999999476131,0.6616180360414493,0.00015079148968877298,75486.18,1
2026-04-19 02:29:01.054888010,1776565741.054888,75479.83,75479.82,75479.81,75479.78,75477.91,75477.76,0.98987,0.00028,7e-05,0.00028,0.00014,75479.83,75479.84,75480.0,75480.28,75480.67,1.09361,0.00063,0.0012,7e-05,0.00242,-0.04979169466469558,0.00999999999476131,-0.05137007617652275,0.00015079148968877298,75486.18,1
2026-04-19 02:29:01.975836992,1776565741.975837,75479.83,75479.82,75479.81,75479.78,75479.04,75478.76,1.29253,0.00014,7e-05,0.003,0.00019,75479.83,75479.84,75480.0,75480.28,75480.67,0.57702,0.0007,0.0012,7e-05,0.00242,0.3827177663074002,0.00999999999476131,0.38060234161100276,0.00015079148968877298,75486.18,1
2026-04-19 02:29:02.948704958,1776565742.948705,75479.83,75479.82,75479.81,75479.78,75479.55,75479.54,1.22264,0.00021,7e-05,0.00014,0.00911,75479.83,75479.84,75480.0,75480.28,75480.67,0.81949,0.00014,0.0012,7e-05,0.00242,0.1974164230484836,0.00999999999476131,0.19890634349960348,0.00015079148968877298,75486.18,1
2026-04-19 02:29:03.948256969,1776565743.948257,75479.83,75479.82,75479.81,75479.78,75479.55,75479.54,1.22354,0.00056,7e-05,0.00014,0.00911,75479.83,75479.84,75480.0,75480.28,75480.67,0.76864,0.00063,0.0012,7e-05,0.00242,0.22834282042787302,0.00999999999476131,0.2294979016935974,0.00015079148968877298,75486.18,1
2026-04-19 02:29:05.049026012,1776565745.049026,75479.83,75479.82,75479.81,75479.78,75479.55,75479.54,1.23365,0.00042,7e-05,0.00014,0.00911,75479.83,75479.84,75480.0,75480.28,75480.67,0.56439,0.00063,0.0012,7e-05,0.00242,0.3722164134279549,0.00999999999476131,0.37231940842116884,0.00013462361767313524,75486.18,1
2026-04-19 02:29:05.948426008,1776565745.948426,75479.83,75479.82,75479.81,75479.78,75479.36,75479.35,1.24225,0.00021,7e-05,0.00014,0.02014,75479.83,75479.84,75480.0,75480.28,75480.67,0.56224,0.0007,0.0012,7e-05,0.00242,0.37684331861079867,0.00999999999476131,0.3805426797271297,0.00013462361767313524,75486.18,1
2026-04-19 02:29:06.948587894,1776565746.948588,75479.83,75479.82,75479.81,75479.78,75479.07,75479.06,1.2634,0.00014,7e-05,0.00014,0.08089,75479.83,75479.84,75480.0,75480.28,75480.67,0.5599,0.0007,0.0012,7e-05,0.00242,0.38583886359896896,0.00999999999476131,0.40878921699590876,0.0,75486.18,1
2026-04-19 02:29:08.016528845,1776565748.0165288,75479.83,75479.82,75479.81,75479.78,75479.07,75479.06,1.2635,0.00014,7e-05,0.00014,0.08089,75479.83,75479.84,75480.0,75480.28,75480.67,0.55952,0.0007,0.0012,7e-05,0.00242,0.38616142444953977,0.00999999999476131,0.4091006732507269,0.0,75486.18,1
